reviews
"

  I did not receive titan watch. Received a duplicate low grade used and broken watch.

"
"

  I recently bought it for 1500. However after few days, the lock of the strip (shown in photo) just came out suddenly. Went to service centre. They adjusted it. But if I get the same problem again, then I will return it. I would like to know if anyone had the same problem. Thank you.

"
"

  I got this watch at just 1676,thanks amazon.watch looks stylish,it also looks pretty,you must buy it,dial is neither too small nor too big.i m satisfied with it.

"
"

  Very good watch

"
"

  The product looks classy. Black dial makes it more classy. Only issue is the second hand, it is not aligned with the markings. Even if it is from the house of titan l felt it is a little bit pricey. Around 1600/- to 1800/- would make it a perfect product.

"
"

  The watch is attractive but the problem is it is difficult to read the time as the Minute and Hour hands are almost the same width and thus confusing. The Hour hand should have been slightly broader. The watch keep good time. Hence my 3 rating.

"
"

  The model is but old but the product is dope. Dial is bit small than picturised here but it feels more comfortable. I'm nt a fan ob super big dials anyways. The build is real good, polishing is also appropriate. And for the overall budget of 1.5K with date and callendar it's really a bomb.

"
"

  I have 2 heavy fastrack watches. The watch looked perfect in the pics but the dial, when it arrived, was too small and looked girlish in my hands. So I had to return it. If you prefer smaller dials, you may like this one.

"
"

  Very descent watch... Superb quality n good looks... Can be worn on formal n semi-formal dresses.

"
"

  Just received the product. The delivery was awesome and so does the watch. Its a gift for my dad. Thank you Amazon.

"
"

  I did not receive titan watch. Received a duplicate low grade used and broken watch.

"
"

  I recently bought it for 1500. However after few days, the lock of the strip (shown in photo) just came out suddenly. Went to service centre. They adjusted it. But if I get the same problem again, then I will return it. I would like to know if anyone had the same problem. Thank you.

"
"

  I got this watch at just 1676,thanks amazon.watch looks stylish,it also looks pretty,you must buy it,dial is neither too small nor too big.i m satisfied with it.

"
"

  Very good watch

"
"

  The product looks classy. Black dial makes it more classy. Only issue is the second hand, it is not aligned with the markings. Even if it is from the house of titan l felt it is a little bit pricey. Around 1600/- to 1800/- would make it a perfect product.

"
"

  The watch is attractive but the problem is it is difficult to read the time as the Minute and Hour hands are almost the same width and thus confusing. The Hour hand should have been slightly broader. The watch keep good time. Hence my 3 rating.

"
"

  The model is but old but the product is dope. Dial is bit small than picturised here but it feels more comfortable. I'm nt a fan ob super big dials anyways. The build is real good, polishing is also appropriate. And for the overall budget of 1.5K with date and callendar it's really a bomb.

"
"

  I have 2 heavy fastrack watches. The watch looked perfect in the pics but the dial, when it arrived, was too small and looked girlish in my hands. So I had to return it. If you prefer smaller dials, you may like this one.

"
"

  Very descent watch... Superb quality n good looks... Can be worn on formal n semi-formal dresses.

"
"

  Just received the product. The delivery was awesome and so does the watch. Its a gift for my dad. Thank you Amazon.

"
"

  This is what I brought it yesterday...its looking good ...worth for money...thanks to Titan for this wonderful creation.I suggest every one go for this...if you want to buy a watch under below budget....thanku once again

"
"

  Got it on sale so paid less than original price which is a great deal.... product is good..very satisfied

"
"

  Only trouble is the strap is little short of length... But you can take it to a local watch store to get it fixed for free...

"
"

  Liked this watch. Unlike other products of amazon I’m not sure whether it’s a copy product or not.Amazon should introduce: Genuine product -A category, Genuine product B category, Copy product A category so and so forth...

"
"

  Perfect working condition.

"
"

  Go for it. Value for money with guarantee of Titan. I have used it for one year now almost everyday. No issues at all.

"
"


  Your browser does not support HTML5 video.


   Awesome it really nice

"
"

  Bought it for my dad... He loved it.. Exactly as described.

"
"

  The product is okay but I hate the packing and the boxTitan should provide good watch case.As I thought the product is not that good,But I like the watch.

"
"

  Watch is a killer deal in this price range.i bought for regular use and it looks great on hand. I already have 2 karishmas by TITAN. And this is my daily driver.

"
"

  Very nice watch. It met my expectation in budget.It has black dial and steel strap that gives it a nice look.And that tooooooooooo branded one:TITAN

"
"

  Good.and decent watch to.have

"
"

  Super product - very happy.

"
"

  Product looked used had scratches

"
"

  Watch is very nice. dial chain and all over look so nice. This watch purchase second time

"
"

  Simple & classic look. I gifted to my son and he liked it very much.

"
"

  I gifted this to my father, he really loved it. Really satisfied with this product. He said it is comfortable to wear and it totally worth the money.

"
"

  Nice  but black one.

"
"

  Bought it for my dad. He really liked it

"
"

  Stylish, Gives handsome look. discounted price, free delivery at Amazon is added value.

"
"

  Titan continues legacy of manufacturing good and reliable products.

"
"

  For the price, the perfect watch. The look of it is much premium than the others in same price range.

"
"

  Good buy.Quality wise super. recommended to all

"
"

  Purchased this watch in April, 2017 and it's working fine... even I haven't changed the battery yet. So, go for it!

"
"

  The dial is small...in pic it looks bigger than his original size

"
"

  Like 👍

"
"

  Great watch to have with the price

"
"

  Ok product.

"
"

  The product is not of good quality what was shown in picture. I m disappointed. Worthless , this watch should be below 1000 rs . Its better to buy off line..

"
"

  Product is good

"
"

  Date and time change automatically but September was only 30 but today on 1st October it is showing date as 31Not sure why so I changed the date to 1

"
"

  Guys if you looking out for a simple good looking casual watch, this is the one for you I would personally suggest as it's worth for its price

"
"

  I got an used watch... the protector was removed as well as the seal

"
"

  Looks good but day and date do not work correctly (in my case).

"
"

  Nice watch

"
"

  I bought this watch for my father...he like them and it's actual price is 2499/- but I got in 2149/-  which is quite good...

"
"

  Great nostalgic watch.

"
"

  Okay

"
"

  good

"
"

  Not worth for price dial is too small; does not look on averaged hand

"
"

  In 3 months the watch stopped working and now running for repair at service centres.

"
"

  Am disappointed with packing of the product, except that all are good like quality and weight is not much heavier and its a seems like classic look.But

"
"

  Beautiful and very stylish watch.

"
"

  The second hand of the watch doesn't tic correctly with the given symbol of hours.Other than that it's a good watch

"
"

  It's good

"
"

  very nice product

"
"

  I found it most beautiful on my wrist.

"
"

  Loved it . Good product reached on time.

"
"

  VERY NICE WATCH AND WORKING PERFECTLY.IT WORTH PURCHASING.THANKS TO AMAZON AS WELL AS TO SELLER.

"
"

  nice product, paisa wasol

"
"

  Slick, sturdy and light weight watch.Value for money with super fast delivery. Very satisfied 😊.

"
"

  Good

"
"

  not as shown in picture

"
"

  Very good product Titan

"
"

  Just superb.. I have gifted to someone special.. He really loved it.. 😍

"
"

  For regular wear its very comfortable..Light weight and also best combination of dial and belt...

"
"

  Absolutely elegant, value for money.

"
"

  It's simply awesome.... It's looks great than this picture... Loved it... I brought this for my hubby 😍

"
"

  Little costly compared to other designs but nice product

"
"

  good

"
"

  The watch is basic...it's nice,it's day function causes problems sometimes

"
"

  Low light conditions, dial has glare and so difficult to see the minutes, hour hands

"
